date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:24:45	46050/46050	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Oct%202019%2002:00:00%20GMT	https://www.google.com/gmail/about/images/for-work-hero.jpg	E:/adidasHackathon/login/www.google.com/gmail/about/images/for-work-hero.jpg	(from https://www.google.com/gmail/about/policy/)
15:24:46	122506/122506	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Oct%202019%2002:00:00%20GMT	https://www.google.com/gmail/about/images/any-device.jpg	E:/adidasHackathon/login/www.google.com/gmail/about/images/any-device.jpg	(from https://www.google.com/gmail/about/policy/)
15:24:47	319798/319798	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Oct%202019%2002:00:00%20GMT	https://www.google.com/gmail/about/images/any-device_2x.jpg	E:/adidasHackathon/login/www.google.com/gmail/about/images/any-device_2x.jpg	(from https://www.google.com/gmail/about/policy/)
15:24:47	9139/9139	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Nov%202019%2020:30:00%20GMT	https://www.google.com/gmail/about/images/playstore.png	E:/adidasHackathon/login/www.google.com/gmail/about/images/playstore.png	(from https://www.google.com/gmail/about/policy/)
15:24:47	12224/12224	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2018%20Oct%202019%2002:00:00%20GMT	https://www.google.com/gmail/about/images/appstore.svg	E:/adidasHackathon/login/www.google.com/gmail/about/images/appstore.svg	(from https://www.google.com/gmail/about/policy/)
15:24:48	20102/20102	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Oct%202019%2002:00:00%20GMT	https://www.google.com/gmail/about/images/any-device-mobile.jpg	E:/adidasHackathon/login/www.google.com/gmail/about/images/any-device-mobile.jpg	(from https://www.google.com/gmail/about/policy/)
15:24:49	5035/5035	---MC-	200	added ('OK')	text/javascript	date:Thu,%2003%20Oct%202019%2012:00:00%20GMT	http://www.google.com/js/google.js	E:/adidasHackathon/login/www.google.com/js/google.js	(from https://www.google.com/gmail/about/policy/)
15:24:49	5033/5033	---MC-	200	added ('OK')	text/javascript	date:Thu,%2003%20Oct%202019%2012:00:00%20GMT	http://www.google.com/js/gweb/analytics/autotrack.js	E:/adidasHackathon/login/www.google.com/js/gweb/analytics/autotrack.js	(from https://www.google.com/gmail/about/policy/)
15:24:51	17844/17844	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/webfont/1.5.10/webfont.js	E:/adidasHackathon/login/ajax.googleapis.com/ajax/libs/webfont/1.5.10/webfont.js	(from https://www.google.com/gmail/about/policy/)
15:24:54	25721/25721	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/angularjs/1.5.9/angular-animate.min.js	E:/adidasHackathon/login/ajax.googleapis.com/ajax/libs/angularjs/1.5.9/angular-animate.min.js	(from https://www.google.com/gmail/about/policy/)
15:24:54	54009/54009	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Oct%202019%2002:00:00%20GMT	https://www.google.com/gmail/about/images/any-device-mobile_2x.jpg	E:/adidasHackathon/login/www.google.com/gmail/about/images/any-device-mobile_2x.jpg	(from https://www.google.com/gmail/about/policy/)
15:24:55	6192/6192	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202019%2002:00:00%20GMT	https://www.google.com/gmail/about/images/sprite.png	E:/adidasHackathon/login/www.google.com/gmail/about/images/sprite.png	(from https://www.google.com/gmail/about/static/css/main.min.css)
15:24:55	19836/19836	---M--	200	added ('OK')	text/javascript	date:Fri,%2018%20Oct%202019%2002:00:00%20GMT	https://www.google.com/gmail/about/static/js/main.min.js	E:/adidasHackathon/login/www.google.com/gmail/about/static/js/main.min.js	(from https://www.google.com/gmail/about/policy/)
15:24:56	1742/1742	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202019%2002:00:00%20GMT	https://www.google.com/gmail/about/images/blueglobe.png	E:/adidasHackathon/login/www.google.com/gmail/about/images/blueglobe.png	(from https://www.google.com/gmail/about/static/css/main.min.css)
15:24:56	12719/12719	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202019%2002:00:00%20GMT	https://www.google.com/gmail/about/images/sprite_2x.png	E:/adidasHackathon/login/www.google.com/gmail/about/images/sprite_2x.png	(from https://www.google.com/gmail/about/static/css/main.min.css)
15:25:00	162536/162536	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/angularjs/1.5.9/angular.min.js	E:/adidasHackathon/login/ajax.googleapis.com/ajax/libs/angularjs/1.5.9/angular.min.js	(from https://www.google.com/gmail/about/policy/)
